ex_block_i_gen_multdiv_fast.multdiv_i_op_quotient_q_reg\[22\] | DFFRHQX1                  | Physically Disconnected
id_stage_i_imd_val_q_reg\[5\] | DFFRHQX1                  | Physically Disconnected
id_stage_i_imd_val_q_reg\[20\] | DFFRHQX1                  | Physically Disconnected
id_stage_i_imd_val_q_reg\[21\] | DFFRHQX1                  | Physically Disconnected
id_stage_i_imd_val_q_reg\[23\] | DFFRHQX1                  | Physically Disconnected
id_stage_i_imd_val_q_reg\[29\] | DFFRHQX1                  | Physically Disconnected
g68534                    | INVX2                     | Physically Disconnected
g91013                    | NAND2X1                   | Physically Disconnected
g91014                    | NAND2X1                   | Physically Disconnected
g68504__8246              | NOR2BX1                   | Physically Disconnected
g68505__7098              | NOR2BX1                   | Physically Disconnected
g90844                    | OAI2BB1X1                 | Physically Disconnected
g90805                    | AOI221X1                  | Physically Disconnected
g90806                    | AOI221X1                  | Physically Disconnected
g90809                    | AOI221X1                  | Physically Disconnected
g90810                    | AOI221X1                  | Physically Disconnected
g90813                    | AOI221X1                  | Physically Disconnected
g90814                    | AOI221X1                  | Physically Disconnected
g90820                    | AOI221X1                  | Physically Disconnected
g90821                    | AOI221X1                  | Physically Disconnected
g90822                    | AOI221X1                  | Physically Disconnected
g90823                    | AOI221X1                  | Physically Disconnected
g90828                    | AOI221X1                  | Physically Disconnected
g90829                    | AOI221X1                  | Physically Disconnected
g91878                    | NAND2XL                   | Physically Disconnected
g91882                    | NAND2XL                   | Physically Disconnected
g68488__7410              | AND2XL                    | Physically Disconnected
g68491__2398              | AND2XL                    | Physically Disconnected
g90411                    | OAI221X1                  | Physically Disconnected
g90413                    | OAI221X1                  | Physically Disconnected
g90418                    | OAI221X1                  | Physically Disconnected
g91058                    | AOI22XL                   | Physically Disconnected
g91064                    | AOI22XL                   | Physically Disconnected
g91065                    | AOI22XL                   | Physically Disconnected
g90533                    | OAI21XL                   | Physically Disconnected
g90537                    | OAI21XL                   | Physically Disconnected
g90930                    | AOI22X1                   | Physically Disconnected
ex_block_i_gen_multdiv_fast.multdiv_i_op_quotient_q_reg\[1\] | DFFRHQX1                  | Physically Disconnected
ex_block_i_gen_multdiv_fast.multdiv_i_op_quotient_q_reg\[2\] | DFFRHQX1                  | Physically Disconnected
ex_block_i_gen_multdiv_fast.multdiv_i_op_quotient_q_reg\[5\] | DFFRHQX1                  | Physically Disconnected
ex_block_i_gen_multdiv_fast.multdiv_i_op_quotient_q_reg\[9\] | DFFRHQX1                  | Physically Disconnected
ex_block_i_gen_multdiv_fast.multdiv_i_op_quotient_q_reg\[10\] | DFFRHQX1                  | Physically Disconnected
ex_block_i_gen_multdiv_fast.multdiv_i_op_quotient_q_reg\[18\] | DFFRHQX1                  | Physically Disconnected
ex_block_i_gen_multdiv_fast.multdiv_i_op_quotient_q_reg\[21\] | DFFRHQX1                  | Physically Disconnected
ex_block_i_gen_multdiv_fast.multdiv_i_op_quotient_q_reg\[25\] | DFFRHQX1                  | Physically Disconnected
ex_block_i_gen_multdiv_fast.multdiv_i_op_quotient_q_reg\[29\] | DFFRHQX1                  | Physically Disconnected
id_stage_i_imd_val_q_reg\[3\] | DFFRHQX1                  | Physically Disconnected
id_stage_i_imd_val_q_reg\[18\] | DFFRHQX1                  | Physically Disconnected
g101397__1881             | OAI2BB1X1                 | Physically Disconnected
g101551__5526             | OAI2BB1X1                 | Physically Disconnected
g101732__5477             | OAI2BB1X1                 | Physically Disconnected
g101733__2398             | OAI2BB1X1                 | Physically Disconnected
g101736__4319             | OAI2BB1X1                 | Physically Disconnected
g91597                    | OAI2BB1X1                 | Physically Disconnected
g91630                    | OAI2BB1X1                 | Physically Disconnected
g101531__9315             | OR2XL                     | Physically Disconnected
g101534__2346             | OR2XL                     | Physically Disconnected
g101598__7482             | OR2XL                     | Physically Disconnected
g101600__6161             | OR2XL                     | Physically Disconnected
g101636__2346             | AOI221X1                  | Physically Disconnected
g101641__2398             | AOI221X1                  | Physically Disconnected
g101642__5107             | AOI221X1                  | Physically Disconnected
g101664__9315             | AOI221X1                  | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_add_145_138_g346 | AOI2BB1XL                 | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_add_145_138_g348 | AOI2BB1XL                 | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fifo_i_add_88_46_g407 | AOI2BB1XL                 | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fifo_i_add_88_46_g409 | AOI2BB1XL                 | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fetch_addr_q_reg\[25\] | DFFHQX1                   | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fetch_addr_q_reg\[26\] | DFFHQX1                   | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fetch_addr_q_reg\[27\] | DFFHQX1                   | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fifo_i_instr_addr_q_reg\[27\] | DFFHQX1                   | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fifo_i_instr_addr_q_reg\[29\] | DFFHQX1                   | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_stored_addr_q_reg\[25\] | DFFHQX1                   | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_stored_addr_q_reg\[26\] | DFFHQX1                   | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_stored_addr_q_reg\[27\] | DFFHQX1                   | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_add_145_138_g347 | AND2XL                    | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_add_145_138_g349 | AND2XL                    | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fifo_i_add_88_46_g408 | AND2XL                    | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fifo_i_add_88_46_g410 | AND2XL                    | Physically Disconnected
g101679__5526             | AOI22XL                   | Physically Disconnected
g101692__4733             | AOI22XL                   | Physically Disconnected
g101704__6260             | AOI22XL                   | Physically Disconnected
g101391__2802             | OAI21XL                   | Physically Disconnected
g101394__8246             | OAI21XL                   | Physically Disconnected
g101473__1666             | OAI21XL                   | Physically Disconnected
g101569__2346             | OAI21XL                   | Physically Disconnected
g91659                    | AOI22X1                   | Physically Disconnected
g91660                    | AOI22X1                   | Physically Disconnected
g91661                    | AOI22X1                   | Physically Disconnected
cs_registers_i_u_mtvec_csr_rdata_q_reg\[24\] | SDFFRHQX1                 | Physically Disconnected
cs_registers_i_u_mtvec_csr_rdata_q_reg\[28\] | SDFFRHQX1                 | Physically Disconnected
cs_registers_i_u_mtvec_csr_rdata_q_reg\[30\] | SDFFRHQX1                 | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fifo_i_add_88_46_g400 | NAND2X1                   | Physically Disconnected
g101396__6131             | OAI2BB1X1                 | Physically Disconnected
g101408__6417             | OAI2BB1X1                 | Physically Disconnected
g101717__6131             | OAI2BB1X1                 | Physically Disconnected
g101720__7482             | OAI2BB1X1                 | Physically Disconnected
g91591                    | OAI2BB1X1                 | Physically Disconnected
g91622                    | OAI2BB1X1                 | Physically Disconnected
g91631                    | OAI2BB1X1                 | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_add_145_138_g381 | AND2X1                    | Physically Disconnected
g101528__7482             | OR2XL                     | Physically Disconnected
g101529__4733             | OR2XL                     | Physically Disconnected
g101530__6161             | OR2XL                     | Physically Disconnected
g101535__1666             | OR2XL                     | Physically Disconnected
g101603__2883             | OR2XL                     | Physically Disconnected
g101533__2883             | OR2X1                     | Physically Disconnected
g101627__6131             | AOI221X1                  | Physically Disconnected
g101628__1881             | AOI221X1                  | Physically Disconnected
g101632__6161             | AOI221X1                  | Physically Disconnected
g101633__9315             | AOI221X1                  | Physically Disconnected
g101660__5115             | AOI221X1                  | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_add_145_138_g380 | AOI2BB1XL                 | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_add_145_138_g386 | AOI2BB1XL                 | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fifo_i_add_88_46_g439 | AOI2BB1XL                 | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fifo_i_add_88_46_g399 | OA21X1                    | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fetch_addr_q_reg\[8\] | DFFHQX1                   | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fetch_addr_q_reg\[9\] | DFFHQX1                   | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fetch_addr_q_reg\[10\] | DFFHQX1                   | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fetch_addr_q_reg\[11\] | DFFHQX1                   | Physically Disconnected
if_stage_i_gen_prefetch_buffer.prefetch_buffer_i_fifo_i_instr_addr_q_reg\[10\] | DFFHQX1                   | Physically Disconnected
g74005                    | INVX2                     | Physically Disconnected
g68554__2346              | NOR2X1                    | Physically Disconnected
g73791                    | NOR2X1                    | Physically Disconnected
g73755                    | NAND2X1                   | Physically Disconnected
g73806                    | NAND2X1                   | Physically Disconnected
g73812                    | NAND2X1                   | Physically Disconnected
g73828                    | NAND2X1                   | Physically Disconnected
g74050                    | NAND2X1                   | Physically Disconnected
g74094                    | NAND2X1                   | Physically Disconnected
g74100                    | NAND2X1                   | Physically Disconnected
g74205                    | NAND2X1                   | Physically Disconnected
g74215                    | NAND2X1                   | Physically Disconnected
FE_RC_33_0                | NAND2BX1                  | Physically Disconnected
g74478                    | NAND2BX1                  | Physically Disconnected
g73790                    | NOR2BX1                   | Physically Disconnected
g73811                    | NOR2BX1                   | Physically Disconnected
g73813                    | NOR2BX1                   | Physically Disconnected
g73923                    | NOR2BX1                   | Physically Disconnected
g73971                    | NOR2BX1                   | Physically Disconnected
g73974                    | NOR2BX1                   | Physically Disconnected
g74064                    | NOR2BX1                   | Physically Disconnected
g74068                    | NOR2BX1                   | Physically Disconnected
g74070                    | NOR2BX1                   | Physically Disconnected
g74087                    | NOR2BX1                   | Physically Disconnected
FE_RC_114_0               | XOR2X4                    | Physically Disconnected
FE_RC_120_0               | AND2X6                    | Physically Disconnected
FE_RC_69_0                | OAI2BB1X1                 | Physically Disconnected
g73717                    | OAI2BB1X1                 | Physically Disconnected
g73728                    | OAI2BB1X1                 | Physically Disconnected
g73744                    | OAI2BB1X1                 | Physically Disconnected
g73753                    | OAI2BB1X1                 | Physically Disconnected
g74000                    | OAI2BB1X1                 | Physically Disconnected
g74015                    | OAI2BB1X1                 | Physically Disconnected
ex_block_i_alu_i_add_76_52_g20116 | AND2X1                    | Physically Disconnected
ex_block_i_alu_i_add_76_52_g20037 | OR2XL                     | Physically Disconnected
FE_RC_52_0                | NOR2X2                    | Physically Disconnected
g74009                    | NOR2X2                    | Physically Disconnected
g74029                    | OR2X1                     | Physically Disconnected
FE_RC_53_0                | AO22X1                    | Physically Disconnected
g73967                    | AOI211X2                  | Physically Disconnected
g73927                    | AOI221X1                  | Physically Disconnected
g73928                    | AOI221X1                  | Physically Disconnected
g73794                    | AOI21X1                   | Physically Disconnected
g73996                    | NAND2XL                   | Physically Disconnected
g73997                    | NAND2XL                   | Physically Disconnected
g74048                    | NAND2XL                   | Physically Disconnected
g74078                    | NAND2XL                   | Physically Disconnected
g74203                    | NAND2XL                   | Physically Disconnected
g74033                    | AND2X2                    | Physically Disconnected
g73810                    | NOR3BXL                   | Physically Disconnected
g74098                    | NOR3BX1                   | Physically Disconnected
g74018                    | NAND2X2                   | Physically Disconnected
g68535__6131              | CLKAND2X2                 | Physically Disconnected
g68539__5115              | CLKAND2X6                 | Physically Disconnected
g68541__4733              | NOR3X1                    | Physically Disconnected
ex_block_i_alu_i_add_76_52_g19994 | NOR3X1                    | Physically Disconnected
ex_block_i_alu_i_add_76_52_g19996 | NOR3X1                    | Physically Disconnected
g68542__6161              | NOR3X2                    | Physically Disconnected
g73750                    | OAI211X1                  | Physically Disconnected
g74016                    | OAI211X1                  | Physically Disconnected
g74037                    | AOI22XL                   | Physically Disconnected
g73725                    | OAI21X1                   | Physically Disconnected
g73738                    | OAI21X1                   | Physically Disconnected
g74093                    | NOR3XL                    | Physically Disconnected
g74017                    | AOI22X1                   | Physically Disconnected
g74034                    | AOI22X1                   | Physically Disconnected
g74035                    | AOI22X1                   | Physically Disconnected
g74038                    | AOI22X1                   | Physically Disconnected
g74040                    | AOI22X1                   | Physically Disconnected
g102761                   | OR4X1                     | Physically Disconnected
g3                        | MXI2XL                    | Physically Disconnected
g73965                    | AOI2BB1X1                 | Physically Disconnected
ex_block_i_alu_i_add_76_52_g20010 | AOI2BB1X1                 | Physically Disconnected
g73969                    | AOI211X1                  | Physically Disconnected
g73970                    | AOI211X1                  | Physically Disconnected
g73890                    | INVX1                     | Physically Disconnected
g73891                    | INVX1                     | Physically Disconnected
g73933                    | INVX1                     | Physically Disconnected
g73935                    | INVX1                     | Physically Disconnected
g74459                    | INVX1                     | Physically Disconnected
g74238                    | NOR2X4                    | Physically Disconnected
g74056                    | NOR2X1                    | Physically Disconnected
g74062                    | NOR2X1                    | Physically Disconnected
g74253                    | NOR2X1                    | Physically Disconnected
g74254                    | NOR2X1                    | Physically Disconnected
ex_block_i_alu_i_add_76_52_g20175 | NOR2X1                    | Physically Disconnected
FE_RC_46_0                | NAND2X1                   | Physically Disconnected
g73708                    | NAND2X1                   | Physically Disconnected
g73710                    | NAND2X1                   | Physically Disconnected
g73713                    | NAND2X1                   | Physically Disconnected
g73714                    | NAND2X1                   | Physically Disconnected
g73747                    | NAND2X1                   | Physically Disconnected
g73760                    | NAND2X1                   | Physically Disconnected
g73762                    | NAND2X1                   | Physically Disconnected
g74189                    | NAND2X1                   | Physically Disconnected
g74191                    | NAND2X1                   | Physically Disconnected
g74192                    | NAND2X1                   | Physically Disconnected
g74195                    | NAND2X1                   | Physically Disconnected
g74197                    | NAND2X1                   | Physically Disconnected
g74198                    | NAND2X1                   | Physically Disconnected
g74199                    | NAND2X1                   | Physically Disconnected
g74207                    | NAND2X1                   | Physically Disconnected
g74216                    | NAND2X1                   | Physically Disconnected
g74226                    | NAND2X1                   | Physically Disconnected
ex_block_i_alu_i_add_76_52_g20121 | NAND2X1                   | Physically Disconnected
ex_block_i_alu_i_add_76_52_g20171 | NAND2X1                   | Physically Disconnected
g73803                    | NAND2BX1                  | Physically Disconnected
g103279                   | NAND2BX1                  | Physically Disconnected
g73918                    | NOR2BX1                   | Physically Disconnected
FE_RC_138_0               | OA21XL                    | Physically Disconnected
FE_RC_137_0               | XOR2X4                    | Physically Disconnected
g73712                    | OAI2BB1X1                 | Physically Disconnected
g73718                    | OAI2BB1X1                 | Physically Disconnected
csa_tree_ex_block_i_gen_multdiv_fast_multdiv_i_add_226_90_groupi_g8013 | OAI22X1                   | Physically Disconnected
csa_tree_ex_block_i_gen_multdiv_fast_multdiv_i_add_226_90_groupi_g8014 | OAI22X1                   | Physically Disconnected
csa_tree_ex_block_i_gen_multdiv_fast_multdiv_i_add_226_90_groupi_g8016 | OAI22X1                   | Physically Disconnected
csa_tree_ex_block_i_gen_multdiv_fast_multdiv_i_add_226_90_groupi_g8048 | OAI22X1                   | Physically Disconnected
csa_tree_ex_block_i_gen_multdiv_fast_multdiv_i_add_226_90_groupi_g8054 | OAI22X1                   | Physically Disconnected
csa_tree_ex_block_i_gen_multdiv_fast_multdiv_i_add_226_90_groupi_g8055 | OAI22X1                   | Physically Disconnected
csa_tree_ex_block_i_gen_multdiv_fast_multdiv_i_add_226_90_groupi_g8060 | OAI22X1                   | Physically Disconnected
csa_tree_ex_block_i_gen_multdiv_fast_multdiv_i_add_226_90_groupi_g8068 | OAI22X1                   | Physically Disconnected
csa_tree_ex_block_i_gen_multdiv_fast_multdiv_i_add_226_90_groupi_g8077 | OAI22X1                   | Physically Disconnected
csa_tree_ex_block_i_gen_multdiv_fast_multdiv_i_add_226_90_groupi_g8079 | OAI22X1                   | Physically Disconnected
csa_tree_ex_block_i_gen_multdiv_fast_multdiv_i_add_226_90_groupi_g8084 | OAI22X1                   | Physically Disconnected
csa_tree_ex_block_i_gen_multdiv_fast_multdiv_i_add_226_90_groupi_g8109 | OAI22X1                   | Physically Disconnected
csa_tree_ex_block_i_gen_multdiv_fast_multdiv_i_add_226_90_groupi_g8208 | OAI22X1                   | Physically Disconnected
csa_tree_ex_block_i_gen_multdiv_fast_multdiv_i_add_226_90_groupi_g8291 | OAI22X1                   | Physically Disconnected
csa_tree_ex_block_i_gen_multdiv_fast_multdiv_i_add_226_90_groupi_g8148 | AOI22X1                   | Physically Disconnected
csa_tree_ex_block_i_gen_multdiv_fast_multdiv_i_add_226_90_groupi_g8185 | AOI22X1                   | Physically Disconnected
csa_tree_ex_block_i_gen_multdiv_fast_multdiv_i_add_226_90_groupi_g8192 | AOI22X1                   | Physically Disconnected
